rideType,displayName,currency,minCostCent,maxCostCent,journeyDuration,distanceMiles,primeTimeConfirmationToken,primeTimePercentage,currentDate
lyft_line,Lyft Line,USD,788,788,500,1.36,,0%,Thu Apr 21 00:09:45 EDT 2016
lyft,Lyft,USD,800,1100,500,1.36,,0%,Thu Apr 21 00:09:45 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1600,515,1.4,,0%,Thu Apr 21 00:09:45 EDT 2016
lyft_line,Lyft Line,USD,801,801,515,1.4,,0%,Thu Apr 21 00:09:45 EDT 2016
lyft,Lyft,USD,800,1200,515,1.4,,0%,Thu Apr 21 00:09:45 EDT 2016
lyft_plus,Lyft Plus,USD,1900,2900,1100,3.64,,0%,Thu Apr 21 00:09:45 EDT 2016
lyft_line,Lyft Line,USD,1549,1549,1100,3.64,,0%,Thu Apr 21 00:09:45 EDT 2016
lyft,Lyft,USD,1100,2000,1100,3.64,,0%,Thu Apr 21 00:09:45 EDT 2016
lyft_plus,Lyft Plus,USD,4500,5900,1780,10.44,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_line,Lyft Line,USD,3379,3379,1780,10.44,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft,Lyft,USD,2800,4000,1780,10.44,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_plus,Lyft Plus,USD,1200,2000,772,1.97,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_line,Lyft Line,USD,1054,1054,772,1.97,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft,Lyft,USD,800,1500,772,1.97,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1300,447,0.72,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_line,Lyft Line,USD,641,641,447,0.72,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft,Lyft,USD,800,1000,447,0.72,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_plus,Lyft Plus,USD,1700,2600,1008,3.15,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_line,Lyft Line,USD,1402,1402,1008,3.15,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft,Lyft,USD,1000,1900,1008,3.15,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1500,523,1.21,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_line,Lyft Line,USD,772,772,523,1.21,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft,Lyft,USD,800,1100,523,1.21,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_plus,Lyft Plus,USD,1500,2400,913,2.72,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_line,Lyft Line,USD,1270,1270,913,2.72,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft,Lyft,USD,900,1700,913,2.72,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1200,256,0.38,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_line,Lyft Line,USD,600,600,256,0.38,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft,Lyft,USD,800,800,256,0.38,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_plus,Lyft Plus,USD,1900,2900,1206,3.43,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_line,Lyft Line,USD,1568,1568,1206,3.43,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft,Lyft,USD,1200,2000,1206,3.43,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1300,386,0.89,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_line,Lyft Line,USD,641,641,386,0.89,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft,Lyft,USD,800,1000,386,0.89,,0%,Thu Apr 21 00:14:04 EDT 2016
lyft_plus,Lyft Plus,USD,2400,3500,1231,5.09,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_line,Lyft Line,USD,1895,1895,1231,5.09,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft,Lyft,USD,1400,2400,1231,5.09,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1800,635,1.46,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_line,Lyft Line,USD,883,883,635,1.46,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft,Lyft,USD,800,1300,635,1.46,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_plus,Lyft Plus,USD,3500,4700,1453,7.39,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_line,Lyft Line,USD,2753,2753,1453,7.39,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft,Lyft,USD,2300,3300,1453,7.39,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1700,538,1.46,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_line,Lyft Line,USD,827,827,538,1.46,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft,Lyft,USD,800,1200,538,1.46,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_plus,Lyft Plus,USD,3800,5000,1680,7.89,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_line,Lyft Line,USD,2944,2944,1680,7.89,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft,Lyft,USD,2400,3500,1680,7.89,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1900,766,1.61,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_line,Lyft Line,USD,988,988,766,1.61,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft,Lyft,USD,800,1400,766,1.61,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_plus,Lyft Plus,USD,1200,2100,774,2.07,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_line,Lyft Line,USD,1072,1072,774,2.07,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft,Lyft,USD,800,1500,774,2.07,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1300,345,0.67,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_line,Lyft Line,USD,637,637,345,0.67,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft,Lyft,USD,800,1000,345,0.67,,0%,Thu Apr 21 00:14:05 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1200,199,0.13,,0%,Thu Apr 21 00:14:06 EDT 2016
lyft,Lyft,USD,800,800,199,0.13,,0%,Thu Apr 21 00:14:06 EDT 2016
lyft_plus,Lyft Plus,USD,4400,5800,1797,10.95,,0%,Thu Apr 21 00:14:06 EDT 2016
lyft_line,Lyft Line,USD,3259,3259,1797,10.95,,0%,Thu Apr 21 00:14:06 EDT 2016
lyft,Lyft,USD,2700,3900,1797,10.95,,0%,Thu Apr 21 00:14:06 EDT 2016
