vendorid,journey_start_time,journey_end_time,passenger_count,trip_distance,start_longitude,start_latitude,ratecodeid,store_and_fwd_flag,end_longitude,end_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-01-01 00:14:04,2015-01-01 00:28:26,1,2.5,-74.00151824951172,40.74636840820312,1,N,-73.98416900634766,40.77527236938477,1,11.5,0.5,0.5,2.55,0,0,15.35
1,2015-01-01 00:14:04,2015-01-01 00:15:30,2,0.3,-73.98618316650391,40.7280387878418,1,N,-73.98278045654297,40.73110198974609,2,3,0.5,0.5,0,0,0,4.3
1,2015-01-01 00:14:04,2015-01-01 00:34:31,1,2.9,-73.98633575439453,40.73522567749023,1,N,-73.98447418212891,40.7672233581543,1,15,0.5,0.5,3.25,0,0,19.55
1,2015-01-01 00:14:04,2015-01-01 00:17:35,2,0.7,-73.97808837890625,40.74252700805664,1,N,-73.98503875732422,40.73247146606445,2,5,0.5,0.5,0,0,0,6.3
1,2015-01-01 00:14:05,2015-01-01 00:29:11,1,5.1,-73.95421600341797,40.76411819458008,1,N,-74.00083160400391,40.72467803955078,1,17,0.5,0.5,3.65,0,0,21.95
1,2015-01-01 00:14:05,2015-01-01 00:40:04,1,1.3,-73.97610473632812,40.75918197631836,1,N,-73.98444366455078,40.74432373046875,2,15.5,0.5,0.5,0,0,0,16.8
1,2015-01-01 00:14:05,2015-01-01 00:32:56,2,6.6,-73.98972320556641,40.73542022705078,1,N,-73.89569091796875,40.73653793334961,1,21.5,0.5,0.5,5.6,5.33,0,33.73
1,2015-01-01 00:14:05,2015-01-01 00:22:28,1,1.4,-73.94833374023438,40.80147552490234,1,N,-73.93950653076172,40.79031753540039,2,7.5,0.5,0.5,0,0,0,8.800000000000001
1,2015-01-01 00:14:05,2015-01-01 01:00:03,1,13.2,-73.991455078125,40.74459075927734,1,N,-73.99153137207031,40.66484832763672,2,44,0.5,0.5,0,0,0,45.3
1,2015-01-01 00:14:05,2015-01-01 00:43:24,4,1.3,-73.98781585693359,40.76515579223633,1,N,-73.9912109375,40.74992370605469,2,17,0.5,0.5,0,0,0,18.3
2,2015-01-01 00:14:05,2015-01-01 00:28:28,1,1.7,-73.99117279052734,40.73010635375977,1,N,-73.99140167236328,40.7490119934082,2,10.5,0.5,0.5,0,0,0,11.5
2,2015-01-01 00:14:05,2015-01-01 00:17:34,2,0.58,-73.99472808837891,40.72592163085938,1,N,-73.98876190185547,40.73146820068359,1,4.5,0.5,0.5,1,0,0.3,6.8
1,2015-01-01 00:14:06,2015-01-01 00:14:44,1,0.1,-74.00328063964844,40.73172378540039,1,N,-74.00251770019531,40.73038101196289,2,2.5,0.5,0.5,0,0,0,3.8
1,2015-01-01 00:14:06,2015-01-01 00:17:02,1,0.7,0,0,1,N,0,0,1,4.2,0.5,0.5,1.1,0,0,6.6
1,2015-01-01 00:14:06,2015-01-01 00:35:12,1,10.4,-73.98989105224609,40.72946548461914,1,N,-73.93834686279297,40.85065078735352,2,30.5,0.5,0.5,0,0,0,31.8
1,2015-01-01 00:14:06,2015-01-01 00:23:11,1,1.3,-73.99797821044922,40.71950531005859,1,N,-73.99855804443359,40.73374557495117,2,8,0.5,0.5,0,0,0,9.300000000000001
2,2015-01-01 00:14:06,2015-01-01 00:26:20,1,1.82,-73.98567962646484,40.74372863769531,1,N,-73.96573638916016,40.75705337524414,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2015-01-01 00:14:29,2015-01-01 00:20:00,4,0.7,-73.95944976806641,40.71162414550781,1,N,-73.95188903808594,40.71599578857422,2,5.5,0.5,0.5,0,0,0,6.8
1,2015-01-01 00:14:29,2015-01-01 00:24:03,2,2.7,-73.99221038818359,40.72602081298828,1,N,-73.96242523193359,40.71352386474609,1,10.7,0.5,0.5,3,0,0,15
1,2015-01-01 00:14:29,2015-01-01 00:19:53,4,0.9,-73.98249816894531,40.74237823486328,1,N,-73.98394775390625,40.73202896118164,2,6,0.5,0.5,0,0,0,7.3
1,2015-01-01 00:14:29,2015-01-01 00:21:28,1,2.1,-73.99058532714844,40.76643371582031,1,N,-73.97000122070312,40.79056930541992,2,8.5,0.5,0.5,0,0,0,9.800000000000001
1,2015-01-01 00:14:29,2015-01-01 00:20:56,1,1.4,-73.98115539550781,40.78422164916992,1,N,-73.96609497070312,40.79134750366211,2,7,0.5,0.5,0,0,0,8.300000000000001
1,2015-01-01 00:14:29,2015-01-01 00:33:25,1,7.9,-73.95639801025391,40.77816772460938,1,N,-73.85758209228516,40.72596740722656,2,23.5,0.5,0.5,0,0,0,24.8
2,2015-01-01 00:14:29,2015-01-01 00:21:35,6,1.23,-73.99153137207031,40.73854827880859,1,N,-74.00831604003906,40.73426818847656,1,7,0.5,0.5,1.5,0,0.3,9.800000000000001
2,2015-01-01 00:14:29,2015-01-01 00:27:47,5,1.98,-73.98482513427734,40.72442626953125,1,N,-73.98749542236328,40.74393463134766,1,10.5,0.5,0.5,2.2,0,0.3,14
2,2015-01-01 00:14:29,2015-01-01 00:34:35,2,3.54,-73.97749328613281,40.7424430847168,1,N,-73.95612335205078,40.77894592285156,1,16.5,0.5,0.5,2,0,0.3,19.8
2,2015-01-01 00:14:30,2015-01-01 00:24:36,2,1.68,-73.97315216064453,40.74845123291016,1,N,-73.99613189697266,40.74924087524414,2,8.5,0.5,0.5,0,0,0.3,9.800000000000001
2,2015-01-01 00:14:30,2015-01-01 00:24:48,1,2.41,-73.95320892333984,40.74547576904297,1,N,-73.91867828369141,40.75567626953125,1,10,0.5,0.5,2.1,0,0.3,13.4
